PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33577936","Organization of the macaque monkey inferior parietal lobule based on multimodal receptor architectonics","Niu M, Rapan L, Funck T, Froudist-Walsh S, Zhao L, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 May 1;231:117843. doi: 10.1016/j.neuroimage.2021.117843. Epub 2021 Feb 10.","Niu M","Neuroimage","2021","2021/02/12","PMC8188735","NIHMS1702873","10.1016/j.neuroimage.2021.117843"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33482086","Common fronto-temporal effective connectivity in humans and monkeys","Rocchi F, Oya H, Balezeau F, Billig AJ, Kocsis Z, Jenison RL, Nourski KV, Kovach CK, Steinschneider M, Kikuchi Y, Rhone AE, Dlouhy BJ, Kawasaki H, Adolphs R, Greenlee JDW, Griffiths TD, Howard MA 3rd, Petkov CI.","Neuron. 2021 Mar 3;109(5):852-868.e8. doi: 10.1016/j.neuron.2020.12.026. Epub 2021 Jan 21.","Rocchi F","Neuron","2021","2021/01/22","PMC7927917","NIHMS1670759","10.1016/j.neuron.2020.12.026"
"33301937","Functional imaging of the brainstem during visually-guided motor control reveals visuomotor regions in the pons and midbrain","Chu WT, Mitchell T, Foote KD, Coombes SA, Vaillancourt DE.","Neuroimage. 2021 Feb 1;226:117627. doi: 10.1016/j.neuroimage.2020.117627. Epub 2020 Dec 8.","Chu WT","Neuroimage","2021","2020/12/10","PMC8335153","NIHMS1726624","10.1016/j.neuroimage.2020.117627"
"32226552","NIR-II fluorescence microscopic imaging of cortical vasculature in non-human primates","Cai Z, Zhu L, Wang M, Roe AW, Xi W, Qian J.","Theranostics. 2020 Mar 4;10(9):4265-4276. doi: 10.7150/thno.43533. eCollection 2020.","Cai Z","Theranostics","2020","2020/04/01","PMC7086344","","10.7150/thno.43533"
"32081631","A 16-channel loop array for in vivo macaque whole-brain imaging at 3 T","Quan Z, Gao Y, Qu S, Wang X, Friedman RM, Chernov MM, Kroenke CD, Roe AW, Zhang X.","Magn Reson Imaging. 2020 May;68:167-172. doi: 10.1016/j.mri.2020.02.008. Epub 2020 Feb 17.","Quan Z","Magn Reson Imaging","2020","2020/02/22","PMC7784245","NIHMS1655088","10.1016/j.mri.2020.02.008"
"31619951","fMRI in Non-human Primate: A Review on Factors That Can Affect Interpretation and Dynamic Causal Modeling Application","Jovellar DB, Doudet DJ.","Front Neurosci. 2019 Sep 18;13:973. doi: 10.3389/fnins.2019.00973. eCollection 2019.","Jovellar DB","Front Neurosci","2019","2019/10/18","PMC6759819","","10.3389/fnins.2019.00973"
"31461747","Orbitofrontal cortex is selectively activated in a primate model of attentional bias to cocaine cues","Baeg E, Jedema HP, Bradberry CW.","Neuropsychopharmacology. 2020 Mar;45(4):675-682. doi: 10.1038/s41386-019-0499-0. Epub 2019 Aug 28.","Baeg E","Neuropsychopharmacology","2020","2019/08/29","PMC7021823","","10.1038/s41386-019-0499-0"
"31132407","Longitudinal characterization of cognitive and motor deficits in an excitotoxic lesion model of striatal dysfunction in non-human primates","Lavisse S, Williams S, Lecourtois S, van Camp N, Guillermier M, Gipchtein P, Jan C, Goutal S, Eymin L, Valette J, Delzescaux T, Perrier AL, Hantraye P, Aron Badin R.","Neurobiol Dis. 2019 Oct;130:104484. doi: 10.1016/j.nbd.2019.104484. Epub 2019 May 24.","Lavisse S","Neurobiol Dis","2019","2019/05/28","","","10.1016/j.nbd.2019.104484"
"30121000","Adaptive coding in the human brain: Distinct object features are encoded by overlapping voxels in frontoparietal cortex","Jackson JB, Woolgar A.","Cortex. 2018 Nov;108:25-34. doi: 10.1016/j.cortex.2018.07.006. Epub 2018 Jul 25.","Jackson JB","Cortex","2018","2018/08/19","PMC6629547","EMS83377","10.1016/j.cortex.2018.07.006"
"30048613","Primate Social Communication Goes Interactive","Nieder A.","Neuron. 2018 Jul 25;99(2):250-253. doi: 10.1016/j.neuron.2018.07.014.","Nieder A","Neuron","2018","2018/07/27","","","10.1016/j.neuron.2018.07.014"
"29682503","Imaging, Behavior and Endocrine Analysis of ""Jealousy"" in a Monogamous Primate","Maninger N, Mendoza SP, Williams DR, Mason WA, Cherry SR, Rowland DJ, Schaefer T, Bales KL.","Front Ecol Evol. 2017 Oct;5:119. doi: 10.3389/fevo.2017.00119. Epub 2017 Oct 19.","Maninger N","Front Ecol Evol","2017","2018/04/24","PMC5909987","NIHMS928917","10.3389/fevo.2017.00119"
"29240774","Pharmacological inactivation does not support a unique causal role for intraparietal sulcus in the discrimination of visual number","DeWind NK, Peng J, Luo A, Brannon EM, Platt ML.","PLoS One. 2017 Dec 14;12(12):e0188820. doi: 10.1371/journal.pone.0188820. eCollection 2017.","DeWind NK","PLoS One","2017","2017/12/15","PMC5730202","","10.1371/journal.pone.0188820"
"28466257","Cortical Representation of Pain and Touch: Evidence from Combined Functional Neuroimaging and Electrophysiology in Non-human Primates","Chen LM.","Neurosci Bull. 2018 Feb;34(1):165-177. doi: 10.1007/s12264-017-0133-2. Epub 2017 May 2.","Chen LM","Neurosci Bull","2018","2017/05/04","PMC5799120","","10.1007/s12264-017-0133-2"
"28461475","Limitations of ex vivo measurements for in vivo neuroscience","Opitz A, Falchier A, Linn GS, Milham MP, Schroeder CE.","Proc Natl Acad Sci U S A. 2017 May 16;114(20):5243-5246. doi: 10.1073/pnas.1617024114. Epub 2017 May 1.","Opitz A","Proc Natl Acad Sci U S A","2017","2017/05/03","PMC5441777","","10.1073/pnas.1617024114"
